ID,Name,Area / Locality,Address,Type,Latitude,Longitude,Total Slots,Available Slots,Price/Hr (₹),Facilities,Timings,Managed By,Notes
P001,Phoenix Palladium Basement Parking,Lower Parel,"Phoenix Palladium Mall, Senapati Bapat Marg, Lower Parel, Mumbai 400013",Mall Basement,18.9943,72.8261,450,120,60,"CCTV, EV Charging, Lifts, Security",24/7,Phoenix Mills Ltd,Multi-level basement; B1 & B2 floors
P002,Palladium Luxury Wing Parking,Lower Parel,"High Street Phoenix, LBS Marg, Lower Parel, Mumbai 400013",Mall Basement,18.9938,72.8255,200,45,80,"CCTV, Valet, Security",10AM–11PM,Phoenix Mills Ltd,Valet available at ₹150 extra
P003,Infinity Mall Andheri Parking,Andheri West,"Infinity Mall, New Link Rd, Oshiwara, Andheri West, Mumbai 400053",Mall Parking,19.1367,72.8298,600,210,50,"CCTV, EV Charging, Food Court Access",10AM–11PM,Raheja Group,Largest mall parking in Andheri West
P004,Infinity Mall Malad Parking,Malad West,"Infinity Mall, Mindspace, Malad West, Mumbai 400064",Mall Parking,19.1868,72.8479,500,180,50,"CCTV, Security, Food Court Access",10AM–11PM,Raheja Group,
P005,Oberoi Mall Parking,Goregaon East,"Oberoi Mall, Western Express Hwy, Goregaon East, Mumbai 400063",Mall Parking,19.1602,72.8491,700,350,40,"CCTV, EV Charging, Security, Lifts",10AM–10:30PM,Oberoi Realty,Near Hub Mall; ample space
P006,R City Mall Parking,Ghatkopar West,"R City Mall, LBS Marg, Ghatkopar West, Mumbai 400086",Mall Parking,19.0871,72.9081,800,300,50,"CCTV, EV Charging, Lifts, Disabled Access",10AM–11PM,Runwal Group,One of largest malls in Eastern suburbs
P007,Viviana Mall Parking,Thane,"Viviana Mall, Pokhran Rd No 2, Thane West, Thane 400601",Mall Parking,19.2183,72.9781,1000,420,40,"CCTV, EV Charging, Security, Disabled Access",10AM–10PM,Viviana Mall,Just outside Mumbai limits; popular destination
P008,Jio World Drive Parking,BKC,"Jio World Drive, G Block, BKC, Bandra East, Mumbai 400051",Mall Parking,19.0655,72.865,600,230,80,"CCTV, EV Charging, Valet, Disabled Access",10AM–11PM,Reliance Industries,Premium parking; EV bays plentiful
P009,MMRDA BKC G Block Parking,BKC,"G Block, BKC Road, Bandra Kurla Complex, Mumbai 400051",Public Paid,19.0631,72.8674,850,400,60,"CCTV, Security, 13 Floors",24/7,MMRDA,13-floor + 2 underground; 850 car bays
P010,Kalanagar MHADA Parking,Bandra East,"Near MHADA Office, Kalanagar, Bandra East, Mumbai 400051",Public Paid,19.0554,72.8634,50,20,30,Security,8AM–10PM,BMC,Small lot; 50 cars + 100 bikes
P011,Linking Road Parking,Bandra West,"Linking Road, Hill Road Junction, Bandra West, Mumbai 400050",Public Paid,19.0607,72.8362,80,30,40,"CCTV, Security",8AM–11PM,BMC,Popular shopping belt parking
P012,Elco Market Parking,Bandra West,"Hill Road, Elco Market, Bandra West, Mumbai 400050",Public Paid,19.0573,72.8344,60,25,30,Security,8AM–10PM,BMC,
P013,Juhu Balraj Sahani Marg Parking,Juhu,"Balraj Sahani Marg, Juhu, Mumbai 400049",Public Paid,19.0948,72.826,120,50,65,"CCTV, Security",8AM–11PM,BMC,₹65/hr cars; ₹35/hr bikes
P014,Sakinaka QUBE Parking,Andheri East,"The Qube, Marol Village, Sakinaka, Andheri East, Mumbai 400059",Public Paid,19.1028,72.8892,362,180,40,"CCTV, Security, Bikes",24/7,BMC,237 cars + 125 bikes
P015,Cygnus Tower Parking,Santacruz East,"14 CST Road, Opp Petrol Pump, Kalina, Santacruz East, Mumbai 400098",Public Paid,19.0762,72.8638,100,40,35,"CCTV, Security",8AM–10PM,BMC,
P016,Star Mall Dadar Parking,Dadar West,"Star Mall, NC Kelkar Road, Kelkar Wadi, Dadar West, Mumbai 400028",Public Paid,19.0178,72.8423,200,90,40,"CCTV, Security",9AM–10PM,BMC Amenity,Amenity parking; BMC managed
P017,Marol MIDC Parking,Andheri East,"Marol Village, Bori Colony, Marol, Andheri East, Mumbai 400059",Public Paid,19.1149,72.8754,150,70,30,Security,8AM–10PM,BMC Amenity,
P018,BKC MMRDA Trident Parking,BKC,"Block G, C/56, MMRDA Trident BKC, Bandra East, Mumbai 400051",Public Paid,19.0608,72.8689,200,80,60,"CCTV, Security",24/7,MMRDA,Near US Consulate
P019,Huma Mall Parking,Kanjurmarg West,"Huma Mall, LBS Marg, Kanjurmarg West, Mumbai 400078",Mall Parking,19.1108,72.9277,500,200,40,"CCTV, EV Charging, Lifts",10AM–10:30PM,Huma Mall,Near Eastern Express Highway
P020,Growel's 101 Mall Parking,Kandivali East,"Growel's 101 Mall, Akurli Road, Kandivali East, Mumbai 400101",Mall Parking,19.2052,72.8662,400,150,40,"CCTV, Security, Food Court",10AM–10PM,Growel's,
P021,Inorbit Mall Malad Parking,Malad West,"Inorbit Mall, S V Road, Malad West, Mumbai 400064",Mall Parking,19.1867,72.8458,600,250,50,"CCTV, EV Charging, Security",10AM–10:30PM,Inorbit,"Large, well-lit parking"
P022,Colaba Causeway Parking,Colaba,"Colaba Causeway, Near Regal Cinema, Mumbai 400001",Public Paid,18.922,72.832,80,30,50,"CCTV, Security",8AM–11PM,BMC,Tourist area; often crowded
P023,Azad Maidan Parking,CST / Fort,"Azad Maidan, Mahapalika Marg, Fort, Mumbai 400001",Public Paid,18.9388,72.8358,275,100,30,"Security, Open Lot",6AM–11PM,BMC,275 car capacity
P024,Nariman Point NCPA Parking,Nariman Point,"NCPA, Nariman Point, Mumbai 400021",Public Paid,18.9256,72.8242,300,120,60,"CCTV, Security, Covered",8AM–11PM,NCPA / BMC,Premium south Mumbai location
P025,Forum Thane Parking,Thane,"Forum Mall, Mangal Pandey Road, Thane West, Thane 400601",Mall Parking,19.2052,72.9713,400,160,40,"CCTV, EV Charging, Disabled Access",10AM–10PM,Prestige Group,
P026,Seawoods Grand Central Parking,Navi Mumbai,"Seawoods Grand Central Mall, Sector 40, Nerul, Navi Mumbai 400706",Mall Parking,19.0172,73.0164,1200,600,30,"CCTV, EV Charging, Security, Disabled Access",10AM–10:30PM,L&T Realty,Largest parking in Navi Mumbai
P027,Vashi Central Mall Parking,Navi Mumbai,"Central Mall, Sector 17, Vashi, Navi Mumbai 400703",Mall Parking,19.0771,73.0069,300,120,30,"CCTV, Security",10AM–10PM,Future Group,
P028,Runwal Elegante Parking,Andheri West,"Runwal Elegante, P Tandon Marg, Lokhandwala, Andheri West, Mumbai 400053",Residential/Public,19.1396,72.8293,200,80,0,"Security, CCTV",8AM–10PM,Runwal Group,Free parking lot by mall
P029,Goregaon Hub Mall Parking,Goregaon East,"Hub Mall, Western Express Hwy, Goregaon East, Mumbai 400063",Mall Parking,19.1658,72.8512,500,220,40,"CCTV, Security, Lifts",10AM–10:30PM,Hub Mall,Adjacent to National Highway; large lot
P030,Borivali West Station Parking,Borivali West,"Near Borivali Railway Station, S V Road, Borivali West, Mumbai 400092",Public Paid,19.2315,72.8544,150,60,30,"Security, CCTV",6AM–11PM,BMC,High demand during peak hours
